Child 2 (PID=34555): Processing movie-100k_2.txt
Child 1 (PID=34554): Processing movie-100k_1.txt
MovieID: 1	 Rating Count: 452	 Average Rating: 3.88
MovieID: 2	 Rating Count: 131	 Average Rating: 3.21
MovieID: 3	 Rating Count: 90	 Average Rating: 3.03
MovieID: 4	 Rating Count: 209	 Average Rating: 3.55
MovieID: 5	 Rating Count: 86	 Average Rating: 3.30
MovieID: 6	 Rating Count: 26	 Average Rating: 3.58
MovieID: 7	 Rating Count: 392	 Average Rating: 3.80
MovieID: 8	 Rating Count: 219	 Average Rating: 4.00
MovieID: 9	 Rating Count: 299	 Average Rating: 3.90
MovieID: 10	 Rating Count: 89	 Average Rating: 3.83
MovieID: 11	 Rating Count: 236	 Average Rating: 3.85
MovieID: 12	 Rating Count: 267	 Average Rating: 4.39
MovieID: 13	 Rating Count: 184	 Average Rating: 3.42
MovieID: 14	 Rating Count: 183	 Average Rating: 3.97
MovieID: 15	 Rating Count: 293	 Average Rating: 3.78
MovieID: 16	 Rating Count: 39	 Average Rating: 3.21
MovieID: 17	 Rating Count: 92	 Average Rating: 3.12
MovieID: 18	 Rating Count: 10	 Average Rating: 2.80
MovieID: 19	 Rating Count: 69	 Average Rating: 3.96
MovieID: 20	 Rating Count: 72	 Average Rating: 3.42
MovieID: 21	 Rating Count: 84	 Average Rating: 2.76
MovieID: 22	 Rating Count: 297	 Average Rating: 4.15
MovieID: 23	 Rating Count: 182	 Average Rating: 4.12
MovieID: 24	 Rating Count: 174	 Average Rating: 3.45
MovieID: 25	 Rating Count: 293	 Average Rating: 3.44
MovieID: 26	 Rating Count: 73	 Average Rating: 3.45
MovieID: 27	 Rating Count: 57	 Average Rating: 3.11
MovieID: 28	 Rating Count: 276	 Average Rating: 3.93
MovieID: 29	 Rating Count: 114	 Average Rating: 2.67
MovieID: 30	 Rating Count: 37	 Average Rating: 3.95
MovieID: 31	 Rating Count: 154	 Average Rating: 3.63
MovieID: 32	 Rating Count: 81	 Average Rating: 3.79
MovieID: 33	 Rating Count: 97	 Average Rating: 3.45
MovieID: 34	 Rating Count: 7	 Average Rating: 2.71
MovieID: 35	 Rating Count: 11	 Average Rating: 2.18
MovieID: 36	 Rating Count: 13	 Average Rating: 2.15
MovieID: 37	 Rating Count: 8	 Average Rating: 2.25
